685,0,0,0,0,0
686,60007C8A,1610644618, 1F228000,522354688,6
687,0,0,0,0,0
688,40007C8A,1073773706, 1F228000,522354688,4
689,0,0,0,0,0
690,80007C8A,-2147451766, 1F228000,522354688,8
691,0,0,0,0,0
692,C0007C8F,-1073709937, 1F23C000,522436608, 0000000C
693,0,0,0,0,0
694,00007C90,31888, 1F240000,522452992,0
695,0,0,0,0,0
696,E0007C8F,-536839025, 1F23C000,522436608, 0000000E
697,0,0,0,0,0
698,E0007C92,-536839022, 1F248000,522485760, 0000000E
699,0,0,0,0,0
700,00007C94,31892, 1F250000,522518528,0
701,0,0,0,0,0
702,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
703,0,0,0,0,0
704,A0007C91,-1610580847, 1F244000,522469376, 0000000A
705,0,0,0,0,0
706,C0007C90,-1073709936, 1F240000,522452992, 0000000C
707,0,0,0,0,0
708,40007C91,1073773713, 1F244000,522469376,4
709,0,0,0,0,0
710,20007C91,536902801, 1F244000,522469376,2
711,0,0,0,0,0
712,00007C91,31889, 1F244000,522469376,0
713,0,0,0,0,0
714,40007C8F,1073773711, 1F23C000,522436608,4
715,0,0,0,0,0
716,60007C8F,1610644623, 1F23C000,522436608,6
717,0,0,0,0,0
718,E0007C8F,-536839025, 1F23C000,522436608, 0000000E
719,0,0,0,0,0
720,E0007C8F,-536839025, 1F23C000,522436608, 0000000E
721,0,0,0,0,0
722,20007C94,536902804, 1F250000,522518528,2
723,0,0,0,0,0
724,40007C95,1073773717, 1F254000,522534912,4
725,0,0,0,0,0
