
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
397,198,6342.34228,-1733,FFFFF93B,908.23535
399,199,6374.37451,-1733,FFFFF93B,906.50982
401,200,6406.40625,-1734,FFFFF93A,934.16986
403,201,6438.43847,-1734,FFFFF93A,898.58392
405,202,6470.47070,-1733,FFFFF93B,910.65270
407,203,6502.50244,-1734,FFFFF93A,907.26165
409,204,6534.53466,-1734,FFFFF93A,916.67565
411,205,6566.56640,-1734,FFFFF93A,915.10772
413,206,6598.59863,-1734,FFFFF93A,930.29162
415,207,6630.63085,-1734,FFFFF93A,915.45281
417,208,6662.66259,-1735,FFFFF939,941.45983
419,209,6694.69482,-1735,FFFFF939,920.70361
421,210,6726.72656,-1735,FFFFF939,920.69555
423,211,6758.75878,-1736,FFFFF938,921.96166
425,212,6790.79101,-1735,FFFFF939,908.76849
427,213,6822.82275,-1734,FFFFF93A,924.69818
429,214,6854.85498,-1735,FFFFF939,909.20532
431,215,6886.88671,-1735,FFFFF939,925.52331
433,216,6918.91894,-1735,FFFFF939,921.92272
435,217,6950.95117,-1736,FFFFF938,917.47662
437,218,6982.98291,-1737,FFFFF937,921.73272
439,219,7015.01513,-1737,FFFFF937,915.76165
441,220,7047.04687,-1738,FFFFF936,925.97888
443,221,7079.07910,-1738,FFFFF936,908.92193
445,222,7111.11132,-1738,FFFFF936,929.70513
447,223,7143.14306,-1739,FFFFF935,905.30804
449,224,7175.17529,-1739,FFFFF935,941.14508
451,225,7207.20703,-1740,FFFFF934,935.82373
453,226,7239.23925,-1740,FFFFF934,901.27880
455,227,7271.27148,-1741,FFFFF933,937.40539
457,228,7303.30322,-1741,FFFFF933,934.68872
459,229,7335.33544,-1741,FFFFF933,934.44012
461,230,7367.36718,-1742,FFFFF932,926.57452
463,231,7399.39941,-1742,FFFFF932,946.95959
465,232,7431.43164,-1743,FFFFF931,913.81658
467,233,7463.46337,-1744,FFFFF930,930.55261
469,234,7495.49560,-1744,FFFFF930,947.20776
471,235,7527.52734,-1745,FFFFF92F,943.06042
