
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
417,208,6662.66259,-1733,FFFFF93B,1742.28344
419,209,6694.69482,-1732,FFFFF93C,1751.06640
421,210,6726.72656,-1731,FFFFF93D,1768.82604
423,211,6758.75878,-1731,FFFFF93D,1738.22473
425,212,6790.79101,-1730,FFFFF93E,1763.23547
427,213,6822.82275,-1730,FFFFF93E,1742.62268
429,214,6854.85498,-1730,FFFFF93E,1751.00756
431,215,6886.88671,-1729,FFFFF93F,1753.10437
433,216,6918.91894,-1729,FFFFF93F,1751.32910
435,217,6950.95117,-1728,FFFFF940,1728.50744
437,218,6982.98291,-1727,FFFFF941,1740.03002
439,219,7015.01513,-1726,FFFFF942,1751.20397
441,220,7047.04687,-1727,FFFFF941,1750.68798
443,221,7079.07910,-1727,FFFFF941,1752.53735
445,222,7111.11132,-1727,FFFFF941,1752.20581
447,223,7143.14306,-1726,FFFFF942,1748.66162
449,224,7175.17529,-1727,FFFFF941,1736.00292
451,225,7207.20703,-1727,FFFFF941,1736.31445
453,226,7239.23925,-1727,FFFFF941,1748.59582
455,227,7271.27148,-1727,FFFFF941,1744.13659
457,228,7303.30322,-1727,FFFFF941,1769.39807
459,229,7335.33544,-1727,FFFFF941,1743.08911
461,230,7367.36718,-1727,FFFFF941,1740.31237
463,231,7399.39941,-1727,FFFFF941,1768.36181
465,232,7431.43164,-1727,FFFFF941,1731.50463
467,233,7463.46337,-1727,FFFFF941,1742.18664
469,234,7495.49560,-1729,FFFFF93F,1751.74633
471,235,7527.52734,-1729,FFFFF93F,1761.15209
473,236,7559.55957,-1730,FFFFF93E,1764.35339
475,237,7591.59179,-1731,FFFFF93D,1727.98669
477,238,7623.62353,-1730,FFFFF93E,1733.29248
479,239,7655.65576,-1730,FFFFF93E,1763.06640
481,240,7687.68750,-1730,FFFFF93E,1736.44995
483,241,7719.71972,-1731,FFFFF93D,1769.83129
485,242,7751.75195,-1731,FFFFF93D,1768.88537
487,243,7783.78369,-1733,FFFFF93B,1763.81994
489,244,7815.81591,-1733,FFFFF93B,1739.47375
